encode_primary,primary
0,ability
1,action
2,activity
3,alcohol
4,animal
5,appearance
6,art
7,automobile
8,beauty
9,beverage
10,bodyPart
11,book
12,celebrity
13,clothing
14,college
15,commodity
16,consumption
17,country
18,death
19,designation
20,desire
21,disease
22,document
23,education
24,entertainment
25,event
26,familyMember
27,fictionalCharacter
28,finance
29,financialStatus
30,food
31,gesture
32,greeting
33,hairdressing
34,health
35,history
36,hobby
37,householdAppliance
38,incident
39,information
40,internet
41,investment
42,language
43,lifeStages
44,marriage
45,meal
46,media
47,medicine
48,mentalHealth
49,military
50,nature
51,negativeEmotion
52,nightery
53,object
54,occupation
55,personalInformation
56,personalRelationship
57,personalinformation
58,personality
59,pet
60,place
61,positiveEmotion
62,preference
63,present
64,problemSolving
65,relationship
66,religion
67,residence
68,restaurant
69,romantic
70,routine
71,school
72,season
73,sense
74,sexualACtivity
75,sexualActivity
76,sexualHealth
77,sexualIdentity
78,sexualInterest
79,shopping
80,situation
81,smoke
82,snack
83,socialRelationship
84,socioPoliticoEconomic
85,sport
86,state
87,superstition
88,technology
89,thought
90,time
91,traffic
92,travel
93,utility
94,value
95,verbal
96,violation
97,weather
98,womensHealth
99,work
